2023-09-21T20:29:41.832878+0300, DEBUG, start.py, start, 44, cmd_start, graert looool hoooh poiuada ada
2023-09-21T20:29:42.469256+0300, DEBUG, start.py, start, 44, cmd_start, raert looool hoooh poiuada adag
2023-09-21T20:29:42.999867+0300, DEBUG, start.py, start, 44, cmd_start, aert looool hoooh poiuada adagr
2023-09-21T20:29:43.523065+0300, DEBUG, start.py, start, 44, cmd_start, ert looool hoooh poiuada adagra
2023-09-21T20:29:44.050496+0300, DEBUG, start.py, start, 44, cmd_start, rt looool hoooh poiuada adagrae
2023-09-21T20:29:44.545582+0300, DEBUG, start.py, start, 44, cmd_start, t looool hoooh poiuada adagraer
2023-09-21T20:29:45.019773+0300, DEBUG, start.py, start, 44, cmd_start,  looool hoooh poiuada adagraert
2023-09-21T20:29:45.541690+0300, DEBUG, start.py, start, 44, cmd_start, looool hoooh poiuada adagraert 
2023-09-21T20:29:45.745887+0300, ERROR, start.py, start, 50, cmd_start, Telegram server says - Bad Request: message is not modified: specified new message content and reply markup are exactly the same as a current content and reply markup of the message
2023-09-21T20:29:46.047790+0300, DEBUG, start.py, start, 44, cmd_start, ooool hoooh poiuada adagraert l
2023-09-21T20:29:46.529043+0300, DEBUG, start.py, start, 44, cmd_start, oool hoooh poiuada adagraert lo
2023-09-21T20:29:47.010857+0300, DEBUG, start.py, start, 44, cmd_start, ool hoooh poiuada adagraert loo
2023-09-21T20:29:47.515868+0300, DEBUG, start.py, start, 44, cmd_start, ol hoooh poiuada adagraert looo
2023-09-21T20:29:48.015166+0300, DEBUG, start.py, start, 44, cmd_start, l hoooh poiuada adagraert loooo
2023-09-21T20:29:48.610638+0300, DEBUG, start.py, start, 44, cmd_start,  hoooh poiuada adagraert looool
2023-09-21T20:29:49.216629+0300, DEBUG, start.py, start, 44, cmd_start, hoooh poiuada adagraert looool 
2023-09-21T20:29:49.411009+0300, ERROR, start.py, start, 50, cmd_start, Telegram server says - Bad Request: message is not modified: specified new message content and reply markup are exactly the same as a current content and reply markup of the message
2023-09-21T20:29:49.712097+0300, DEBUG, start.py, start, 44, cmd_start, oooh poiuada adagraert looool h
2023-09-21T20:29:50.203578+0300, DEBUG, start.py, start, 44, cmd_start, ooh poiuada adagraert looool ho
2023-09-21T20:29:50.230196+0300, INFO, main.py, main, 17, on_shutdown, Bot off
2023-09-21T20:35:32.182008+0300, INFO, main.py, main, 14, on_startup, Bot on
2023-09-21T20:35:35.437362+0300, DEBUG, start.py, start, 43, cmd_start, ooool hoooh poiuada adagraert l
2023-09-21T20:35:36.011580+0300, DEBUG, start.py, start, 43, cmd_start, oool hoooh poiuada adagraert lo
2023-09-21T20:35:36.654424+0300, DEBUG, start.py, start, 43, cmd_start, ool hoooh poiuada adagraert loo
2023-09-21T20:35:37.230215+0300, DEBUG, start.py, start, 43, cmd_start, ol hoooh poiuada adagraert looo
2023-09-21T20:35:38.084146+0300, DEBUG, start.py, start, 43, cmd_start, l hoooh poiuada adagraert loooo
2023-09-21T20:35:38.709251+0300, DEBUG, start.py, start, 43, cmd_start,  hoooh poiuada adagraert looool
